prompt_id,output_prose_tokens,output_code_tokens
demo-071-f56a0338:p001,1695,3462
demo-071-f56a0338:p002,1137,5288
demo-071-f56a0338:p003,684,3133
demo-071-f56a0338:p004,2336,4305
demo-071-f56a0338:p005,1921,2497
demo-071-f56a0338:p006,1079,199
demo-071-f56a0338:p007,1151,3427
demo-071-f56a0338:p008,2229,392
demo-071-f56a0338:p009,3899,1741
demo-071-f56a0338:p010,457,166
demo-071-f56a0338:p011,953,722
demo-071-f56a0338:p012,2900,1699
demo-071-f56a0338:p013,1781,4066
demo-071-f56a0338:p014,2492,535
demo-071-f56a0338:p015,1989,994
demo-071-f56a0338:p016,1764,720
demo-071-f56a0338:p017,4566,483
demo-071-f56a0338:p018,4977,4794
demo-071-f56a0338:p019,1337,2365
demo-071-f56a0338:p020,1210,2940
demo-071-f56a0338:p021,2977,2488
demo-072-fe57191e:p001,1501,646
demo-072-fe57191e:p002,489,764
demo-072-fe57191e:p003,1388,1486
demo-072-fe57191e:p004,1210,2011
demo-072-fe57191e:p005,404,1249
demo-072-fe57191e:p006,615,166
demo-072-fe57191e:p007,949,431
demo-072-fe57191e:p008,1036,247
demo-072-fe57191e:p009,862,886
demo-073-5c9d18a6:p001,2183,975
demo-073-5c9d18a6:p002,880,167
demo-073-5c9d18a6:p003,2355,1118
demo-073-5c9d18a6:p004,865,2632
demo-073-5c9d18a6:p005,3849,3161
demo-073-5c9d18a6:p006,2012,823
demo-073-5c9d18a6:p007,509,221
demo-073-5c9d18a6:p008,3038,1973
demo-073-5c9d18a6:p009,2211,549
demo-073-5c9d18a6:p010,1077,1957
demo-073-5c9d18a6:p011,1576,623
demo-073-5c9d18a6:p012,3137,3260
demo-074-21a62751:p001,1366,1798
demo-074-21a62751:p002,1200,235
demo-074-21a62751:p003,727,329
demo-074-21a62751:p004,1973,1006
demo-074-21a62751:p005,3300,831
demo-075-125ca850:p001,897,3986
demo-075-125ca850:p002,5016,863
demo-075-125ca850:p003,1252,308
demo-075-125ca850:p004,2710,1518
demo-075-125ca850:p005,853,2526
demo-075-125ca850:p006,3338,4661
demo-075-125ca850:p007,918,1004
demo-075-125ca850:p008,1676,214
demo-075-125ca850:p009,1927,155
demo-075-125ca850:p010,199,247
demo-075-125ca850:p011,537,1071
demo-075-125ca850:p012,1765,2638
demo-075-125ca850:p013,5565,1480
demo-075-125ca850:p014,683,1011
demo-075-125ca850:p015,2181,5964
demo-075-125ca850:p016,1313,2531
demo-075-125ca850:p017,479,1214
demo-075-125ca850:p018,728,845
demo-075-125ca850:p019,4068,1967
demo-075-125ca850:p020,3111,1764
demo-075-125ca850:p021,6682,1843
demo-076-61e5e38e:p001,1285,975
demo-076-61e5e38e:p002,304,38
demo-076-61e5e38e:p003,1776,1094
demo-076-61e5e38e:p004,2720,1154
demo-076-61e5e38e:p005,1960,509
demo-076-61e5e38e:p006,290,711
demo-076-61e5e38e:p007,1721,289
demo-076-61e5e38e:p008,497,75
demo-076-61e5e38e:p009,481,103
demo-076-61e5e38e:p010,791,230
demo-077-10383537:p001,5692,2161
demo-077-10383537:p002,736,739
demo-077-10383537:p003,1112,192
demo-077-10383537:p004,783,739
demo-078-26379ada:p001,489,998
demo-078-26379ada:p002,2465,766
demo-078-26379ada:p003,2620,3557
demo-078-26379ada:p004,1755,2649
demo-078-26379ada:p005,840,2557
demo-078-26379ada:p006,1585,307
demo-078-26379ada:p007,2335,5715
demo-078-26379ada:p008,730,1701
demo-078-26379ada:p009,799,321
demo-079-9675b6d9:p001,864,1646
